accepted_name,max_ma                                                               
Amblyoponini,23.03
Aphaenogaster_longaeva,33.90
Camponotini,3.60
Carebara_ucrainica,38.00
Haidomyrmodes_mammuthus,105.30
Solenopsites_minutus,50.30                                                             
