0,1
0.000102043398866177_2.42420608838455_9.65345415075053,-11259.133347330533
0.000102043398866177_2.42420608838455_9.65345415075053,-11259.740103979206
0.000107387670692229_2.53543054757567_9.37030603344947,-11259.520671865626
0.000107387670692229_2.53543054757567_9.37030603344947,-11259.303387322534
0.000112188372202479_2.7450003338409_9.70301739695705,-11259.31170765847
0.000112188372202479_2.7450003338409_9.70301739695705,-11259.772127574486
0.000120437233424576_2.63361013915524_9.90543050702681,-11258.356072785442
0.000120437233424576_2.63361013915524_9.90543050702681,-11259.360895820837
0.00012640065391528_2.61293643761643_9.99141260116295,-11258.995200959807
0.00012640065391528_2.61293643761643_9.99141260116295,-11259.777788442312
0.000129123822794066_2.58350141920491_9.90247578701271,-11258.679320135972
0.000129123822794066_2.58350141920491_9.90247578701271,-11258.883053389322
0.000129755966095743_2.78876933054651_9.93021359947724,-11257.685090981804
0.000129755966095743_2.78876933054651_9.93021359947724,-11259.288104379124
0.000134025875354292_2.65182371714827_9.78294132546265,-11260.084293141372
0.000134025875354292_2.65182371714827_9.78294132546265,-11258.675784843032
0.000136554009721366_2.64593090086242_9.56623497258788,-11258.421645670865
0.000136554009721366_2.64593090086242_9.56623497258788,-11258.587694461106
0.000144994537116848_2.65803114786666_9.98088169548466,-11258.507458508298
0.000144994537116848_2.65803114786666_9.98088169548466,-11258.407166566687
0.000153510441952435_2.46056101576305_9.89001404370897,-11259.05150569886
0.000153510441952435_2.46056101576305_9.89001404370897,-11258.62648670266
0.00016675675557015_2.34478183840549_9.67303543366622,-11259.50829034193
0.00016675675557015_2.34478183840549_9.67303543366622,-11258.688652269546
0.000170959028047157_2.92500128985506_9.99806603702108,-11258.61797840432
0.000170959028047157_2.92500128985506_9.99806603702108,-11259.453277344532
0.000182794329578807_2.45663145805293_9.8201597125762,-11257.66874825035
0.000182794329578807_2.45663145805293_9.8201597125762,-11258.729296140771
0.000185231953372553_2.76810824001986_9.50270089662786,-11259.319628074383
0.000185231953372553_2.76810824001986_9.50270089662786,-11259.952877424514
0.000205110198321651_2.30716886138938_9.86879818515916,-11259.133347330533
0.000205110198321651_2.30716886138938_9.86879818515916,-11259.740103979206
0.000207261457226294_2.57364564978419_9.91889929237013,-11260.073411317737
0.000207261457226294_2.57364564978419_9.91889929237013,-11259.684631073786
0.000207637537629924_2.49057856841447_9.87604900425127,-11259.36276144771
0.000207637537629924_2.49057856841447_9.87604900425127,-11259.38650469906
0.000209193881584194_2.52836036982129_9.74427854235218,-11259.258638272346
0.000209193881584194_2.52836036982129_9.74427854235218,-11258.942413517298
0.000218332363972897_2.87108646236651_9.97719577395631,-11258.53425914817
0.000218332363972897_2.87108646236651_9.97719577395631,-11258.467344531095
0.000228345792769118_2.38155868812208_9.95099954904935,-11258.35274745051
0.000228345792769118_2.38155868812208_9.95099954904935,-11258.977582483503
0.000234902944423117_2.56625154424767_9.87031254651421,-11258.701927614478
0.000234902944423117_2.56625154424767_9.87031254651421,-11259.33403119376
0.000239038261635599_2.59027176366072_9.99165862048494,-11258.793115376926
0.000239038261635599_2.59027176366072_9.99165862048494,-11258.877524495101
0.000249500778306662_2.35314995547615_9.36536142135627,-11259.69377524495
0.000249500778306662_2.35314995547615_9.36536142135627,-11259.178400319935
0.000263187692749505_2.6321259583576_9.68038857695396,-11258.686106778645
0.000263187692749505_2.6321259583576_9.68038857695396,-11260.158434313136
0.000275572961571792_2.66597515936859_9.78063129306208,-11258.840355928814
0.000275572961571792_2.66597515936859_9.78063129306208,-11258.559868026396
0.00028218961140219_2.45133512715143_9.99919492029932,-11259.467972405519
0.00028218961140219_2.45133512715143_9.99919492029932,-11258.782523495302
0.000345430653247396_2.16014407406481_9.52746518998488,-11258.134561087782
0.000345430653247396_2.16014407406481_9.52746518998488,-11259.685710857828
0.000354720882387715_2.34115993321834_9.9279215209869,-11261.249060187964
0.000354720882387715_2.34115993321834_9.9279215209869,-11259.559448110378
0.000589920975070233_2.37029260453761_9.93911574769236,-11258.100625874826
0.000589920975070233_2.37029260453761_9.93911574769236,-11259.480869826035
0.00065576900677939_2.54752716006591_9.74613686500162,-11259.892359528094
0.00065576900677939_2.54752716006591_9.74613686500162,-11258.500581883623
