taxon	age
Cerapachys_LK02_Brady	0
Cerapachys_L_MG04_Brady	0
Cerapachys_L_MG08_Brady	0
Cerapachys_L_MG11_Brady	0
Cerapachys_MG03_Brady	0
Cerapachys_MG14_Brady	0
Cerapachys_MG39_Brady	0
Cerapachys_MG42_Brady	0
Cerapachys_MG43_Brady	0
Cerapachys_nkomoensis_Brady	0
Cerapachys_paradoxus_Brady	0
Cerapachys_PG01_Brady	0
Cerapachys_P_MG09_Brady	0
Cerapachys_sauteri_Brady	0
Cerapachys_sexspinus_CSM_Moreau_Brady	0
Cerapachys_splendens_Brady	0
Cerapachys_suscitatus_Brady	0
Cerapachys_sylvicola_Brady	0
Cerapachys_TH01_Brady	0
Cerapachys_TH02_Brady	0
Cerapachys_TH03_Brady	0
Cerapachys_typhlus_Brady	0
Chalybion_californicum_Moreau_Schmidt	0
Cheliomyrmex_morosus_cf_Brady_Schmidt	0
Chronoxenus_wroughtonii_javanus_Ward2010	0
Chyphotes_mellipes_Moreau_Schmidt	0
Chyphotes_sp_CSM_Moreau	0
Colobostruma_unicorna_Ward2015	0
Concoctio_concenta_Moreau_Schmidt	0
Crematogaster_acuta_Ward2015	0
Crematogaster_emeryana_Ward2015	0
Crematogaster_kelleri_Ward2015	0
Crematogaster_modiglianii_Ward2015	0
Crematogaster_navajoa_CSM_Moreau	0
Crematogaster_sordidula_Ward2015	0
Cryptomyrmex_boltoni_Ward2015	0
Cryptopone_gilva_CSM_Moreau_Schmidt	0
Cryptopone_sauteri_Schmidt	0
Cyatta_abscondita_GenBank	0
Cylindromyrmex_meinerti_Brady	0
Cylindromyrmex_striatus_Brady_Schmidt	0
Cyphoidris_exalta_Ward2015	0
Cyphomyrmex_cornutus_Ward2015	0
Cyphomyrmex_longiscapus_cf_Ward2015	0
Cyphomyrmex_sp_CSM_Moreau	0
Dacatria_templaris_Ward2015	0
Dacetinops_ignotus_cf_Ward2015	0
Daceton_armigerum_Ward2015	0
Dasymutilla_aureola_Moreau_Schmidt	0
Diacamma_rugosum_Schmidt	0
Diacamma_sp_CSM_Moreau	0
Diacamma_sp_Indo1_Schmidt	0
Diaphoromyrma_sofiae_Ward2015	0
Dicroaspis_KM01_Ward2015	0
Dilobocondyla_borneensis_cf_Ward2015	0
Dilobocondyla_sp_CSM_Moreau	0
Dinoponera_australis_Schmidt	0
Dinoponera_gigantea_CSM_Moreau	0
Diplomorium_longipenne_Ward2015	0
Discothyrea_MAD07_Moreau	0
Discothyrea_sp_CSM_Moreau	0
Doleromyrma_darwiniana_Ward2010	0
Dolichoderus_debilis_Ward2010	0
Dolichoderus_decollatus_Ward2010	0
Dolichoderus_erectilobus_Ward2010	0
Dolichoderus_imitator_CSM_Moreau	0
Dolichoderus_lamellosus_Ward2010	0
Dolichoderus_pustulatus_Ward2015	0
Dolichoderus_scabridus_Ward2010	0
Dolopomyrmex_pilatus_Ward2015	0
Dorylus_emeryi_opacus_Brady	0
Dorylus_GA01_Brady	0
Dorylus_helvolus_Brady	0
Dorylus_laevigatus_Brady_Schmidt	0
Dorylus_mayri_CSM_Moreau	0
Dorylus_wilverthi_CSM_Moreau	0
Dorymyrmex_bicolor_Ward2010	0
Dorymyrmex_elegans_CSM_Moreau	0
Dorymyrmex_planidens_Ward2010	0
Eciton_hamatum_CSM_Moreau	0
Eciton_vagans_Brady	0
Ectatomma_opaciventre_Moreau	0
Ectatomma_quadridens_CSM_Moreau	0
Emeryopone_buttelreepeni_Schmidt	0
Epelysidris_brocha_Ward2015	0
Epopostruma_monstrosa_Ward2015	0
Euponera_sikorae_Moreau_Schmidt	0
Euprenolepis_procera_LaPolla	0
Euprenolepis_wittei_LaPolla	0
Eurhopalothrix_australis_Ward2015	0
Eurhopalothrix_bolaui_Moreau	0
Eurhopalothrix_gravis_Ward2015	0
Eurhopalothrix_philippina_CSM_Moreau	0
Eutetramorium_mocquerysi_Ward2015	0
Eutetramorium_sp_CSM_Moreau	0
Evagetes_sp_CSM_Moreau	0
Forelius_chalybaeus_Ward2010	0
Forelius_pruinosus_Ward2010	0
Forelius_sp_CSM_Moreau	0
Formica_moki_Moreau	0
Formica_wheeleri_CSM_Moreau	0
Formicoxenus_diversipilosus_Ward2015	0
Formicoxenus_provancheri_CSM_Moreau	0
Froggattella_kirbii_Ward2010	0
Froggattella_latispina_CSM_Moreau	0
Gauromyrmex_acanthinus_Ward2015	0
Gnamptogenys_sp_CSM_Moreau	0
Gnamptogenys_striatula_Moreau	0
Goniomma_blanci_Ward2015	0
Goniomma_hispanicum_CSM_Moreau	0
Gracilidris_pombero_Ward2010	0
Hagensia_havilandi_Schmidt	0
Harpagoxenus_sublaevis_Ward2015	0
Harpegnathos_saltator_Schmidt	0
Harpegnathos_venator_Schmidt	0
Heteroponera_microps_CSM_Moreau	0
Heteroponera_panamensis_Moreau_Schmidt	0
Huberia_brounii_Ward2015	0
Hylomyrma_blandiens_Ward2015	0
Hypoponera_inexorata_CSM_Moreau	0
Hypoponera_opacior_Moreau_Schmidt	0
Hypoponera_sakalava_Moreau_Schmidt	0
Hypoponera_sp_Mal1_Schmidt	0
Hypoponera_sp_Mal2_Schmidt	0
Hypoponera_sp_Mal3_Schmidt	0
Iridomyrmex_AU01_Ward2010	0
Iridomyrmex_pallidus_Ward2010	0
Iridomyrmex_sanguineus_Ward2010	0
Iridomyrmex_spadius_CSM_Moreau	0
Kalathomyrmex_emeryi_Ward2015	0
Kartidris_sparsipila_Ward2015	0
Kempfidris_inusuale_Ward2015	0
Labidus_praedator_Brady	0
Labidus_spininodis_CSM_Moreau	0
Lachnomyrmex_scrobiculatus_Ward2015	0
Lasius_alienus_CSM_Moreau	0
Lasius_californicus_Ward2015	0
Lasius_latipes_CSM_Moreau	0
Lenomyrmex_colwelli_Ward2015	0
Leptanilla_GRE01_Moreau	0
Leptanilla_RSA01_Moreau	0
Leptanilla_sp_CSM_Moreau	0
Leptanilloides_femoralis_Brady	0
Leptanilloides_gracilis_Brady	0
Leptanilloides_mckennae_Brady	0
Leptanilloides_nomada_Moreau_Brady_Schmi	0
Leptanilloides_nubecula_Brady	0
Leptogenys_attenuata_Schmidt	0
Leptogenys_crassicornis_Schmidt	0
Leptogenys_diminuta_Moreau_Schmidt	0
