taxon	age
Brownimecia_clavata	92
Camelomecia	99
Chyphotes_mellipes	99
Gerontoformica_gracilis	100
Gerontoformica_magnus	100
Gerontoformica_pilosus	100
Gerontoformica_spiralis	100
Haidomyrmex_scimitarus	99
Haidomyrmodes_mammuthus	99
Haidoterminus_cippus	100
Kyromyrma	92
Myanmyrma_gracilis	99
Sphecomyrma_freyi	92
Zigrasimecia	98
Adetomyrma_sp	0
Amblyopone_armigera	0
Amblyopone_australis	0
Amblyopone_mercovichi	0
Amblyopone_mystriops	0
Amblyopone_pallipes	0
Amblyopone_pluto	0
Amblyopone_mutica	0
Concoctio_concenta	0
Myopopone_castanea	0
Mystrium_voeltzkowi	0
Onychomyrmex_doddi	0
Prionopelta_aethiopica	0
Prionopelta_antillana	0
Ectatomma_tuberculatum	0
Gnamptogenys_annulata	0
Gnamptogenys_striatula	0
Gnamptogenys_bufonis	0
Gnamptogenys_minuta	0
Rhytidoponera_confusa	0
Typhlomyrmex_pusillus	0
Typhlomyrmex_rogenhoferi	0
Acanthoponera_minor	0
Heteroponera_brouni	0
Heteroponera_relicta	0
Paraponera_clavata	0
Platythyrea_punctata	0
Platythyrea_turneri	0
Anochetus_emarginatus	0
Odontomachus_bauri	0
Asphinctopone_silvestrii	0
Belonopelta_deletrix	0
Centromyrmex_brachycola	0
Cryptopone_gilva	0
Diacamma_ceylonense	0
Dinoponera_lucida	0
Dolioponera_fustigera	0
Emeryopone_buttelreepeni	0
Harpegnathos_saltator	0
Hypoponera_sp.	0
Leptogenys_sp._1	0
Leptogenys_sp._0	0
Leptogenys_podenzanai	0
Loboponera_obeliscata	0
Loboponera_vigilans	0
Myopias_maligna	0
Odontoponera_transversa	0
Pachycondyla_apicalis	0
Pachycondyla_berthoudi	0
Pachycondyla_crassinoda	0
Pachycondyla_croceicornis	0
Pachycondyla_guianensis	0
Pachycondyla_marleyi	0
Pachycondyla_pachyderma	0
Pachycondyla_porcata	0
Pachycondyla_stigma	0
Pachycondyla_tarsata	0
Pachycondyla_villosa	0
Phrynoponera_gabonensis	0
Plectroctena_strigosa	0
Ponera_alpha	0
Ponera_pennsylvanica	0
Psalidomyrmex_procerus	0
Simopelta_oculata	0
Streblognathus_peetersi	0
Thaumatomyrmex_atrox	0
Discothyrea_oculata	0
Discothyrea_testacea	0
Proceratium_croceum	0
Proceratium_pergandei	0
Probolomyrmex_guineensis	0
Aneuretus_simoni	0
Leptomyrmex_pallens	0
Iridomyrmex_purpureus	0
Dolichoderus_laminatus	0
Tapinoma_erraticum	0
Technomyrmex_albipes	0
Formica_fusca	0
Gesomyrmex_luzonensis	0
Oecophylla_smaragdina	0
Apomyrma_stygia	0
Leptanilla_swani	0
Myrmecia_nigrisceps	0
Nothomyrmecia_macrops	0
Tatuidris_tatusia	0
Manica_rubida	0
Myrmica_americana	0
Pogonomyrmex_barbatus	0
Metapone_madagascarica	0
Pseudomyrmex_gracilis	0
Tetraponera_aethiops	0
Tetraponera_attenuata	0
Acanthostichus_serratulus	0
Cerapachys_nitidulus	0
Cerapachys_doryloides	0
Cylindromyrmex_brevitarsus	0
Simopone_schoutedeni	0
Leptanilliodes_biconstricta	0
Dorylus_helvolus	0
Aenictus_binghami	0
Cheliomyrmex_morosus	0
Labidus_coecus	0
Eciton_hamatum	0
Metapolybia_cingulata	0
Scolia_nobilitata	0
Anomalomyrma_sp	0
Cerapachys_sexspinus	0
Hypoponera_opacior	0
Lasius_californicus	0
Leptanilloides_nomada	0
Leptogenys_diminuta	0
Martialis_heureka	0
Myrmecia_nigriceps	0
Opamyrma_hungvuong	0
Pogonomyrmex_californicus	0
Proceratium_stictum	0
Tetraponera_punctulata	0
Acanthognathus_ocellatus	0
Acanthomyrmex_ferox	0
Acanthostichus_davisi	0
Acanthostichus_kirbyi	0
Acanthostichus_punctiscapus	0
Acromyrmex_versicolor	0
Acropyga_acutiventris	0
Acropyga_epedana	0
Adelomyrmex_paratristani	0
Adelomyrmex_SC01	0
Adetomyrma_MAD02	0
Adetomyrma_sp2b	0
Adlerzia_froggatti	0
Aenictogiton_UG01	0
Aenictogiton_ZAM02	0
Aenictogiton_ZM02	0
Aenictus_ceylonicus	0
Aenictus_eugenii	0
Aenictus_GA03	0
Aenictus_sp1	0
Aenictus_sp2	0
Aenictus_turneri	0
Aglyptacros_cf_sulcatus	0
Allomerus_octoarticulatus	0
Amyrmex_BR01	0
Ancyridris_polyrhachioides_nr	0
Anillomyrma_AFRC_TZ_01	0
Anillomyrma_decamera	0
Ankylomyrma_coronacantha	0
Anochetus_madagascarensis	0
Anochetus_mayri	0
Anonychomyrma_gilberti	0
Anonychomyrma_itinerans	0
Anonychomyrma_nitidiceps	0
Anoplolepis_gracilipes_Sc	0
Aphaenogaster_albisetosa	0
Aphaenogaster_araneoides	0
Aphaenogaster_occidentalis	0
Aphaenogaster_pythia	0
Aphaenogaster_swammerdami	0
Aphaenogaster_texana	0
Apis_mellifera	0
Aporus_niger	0
Apterogyna_ZA01	0
Apterostigma_auriculatum	0
Apterostigma_sp	0
Aptinoma_antongil	0
Aptinoma_mangabe	0
Arnoldius_AU01	0
Atopomyrmex_mocquerysi	0
Atta_sp	0
Atta_texana	0
Austromorium_flavigaster	0
Austroponera_castanea	0
Axinidris_mlalu	0
Axinidris_murielae	0
Azteca_instabilis	0
Azteca_ovaticeps	0
Azteca_schimperi	0
Azteca_sp	0
Baracidris_sitra	0
Bariamyrma_hispidula	0
Basiceros_manni	0
Blepharidatta_conops	0
Bothriomyrmex_meridionalis	0
Bothriomyrmex_paradoxus	0
Bothriomyrmex_saundersi	0
Bothroponera_variolosa	0
Bothroponera_wasmannii	0
Brachymyrmex_depilis	0
Brachymyrmex_sp	0
Brachyponera_atrata	0
Brachyponera_chinensis	0
Brachyponera_sennaarensis	0
Buniapone_amblyops	0
Calomyrmex_albertisi	0
Calyptomyrmex_beccari	0
Calyptomyrmex_kaurus	0
Camponotus_BCA01	0
Camponotus_conithorax	0
Camponotus_hyatti	0
Camponotus_maritimus	0
Camponotus_ocreatus	0
Cardiocondyla_emeryi	0
Cardiocondyla_mauritanica	0
Cardiocondyla_MY01	0
Cardiocondyla_thoracica	0
Carebara_affinis	0
Carebara_alperti	0
Carebara_AU01	0
Carebara_nosindambo	0
Carebara_sp_2	0
Carebara_sp_3	0
Carebara_sp	0
Carebara_urichi	0
Carebara_vidua	0
Cataglyphis_iberica	0
Cataulacus_ebrardi	0
Cataulacus_hispidulus	0
Cataulacus_MAD02	0
Cataulacus_sp	0
Centromyrmex_feae	0
Centromyrmex_hamulatus	0
Centromyrmex_sellaris	0
Cephalotes_atratus	0
Cephalotes_texanus	0
Cephalotes_unimaculatus	0
Cerapachys_augustae	0
Cerapachys_biroi	0
Cerapachys_CM02	0
Cerapachys_desposyne	0
Cerapachys_dohertyi	0
Cerapachys_edentatus	0
Cerapachys_foreli	0
Cerapachys_fragosus	0
Cerapachys_jacobsoni	0
Cerapachys_KH01	0
Cerapachys_KH02	0
Cerapachys_larvatus	0
Cerapachys_LK01	0
Cerapachys_LK02	0
Cerapachys_L_MG04	0
Cerapachys_L_MG08	0
Cerapachys_L_MG11	0
Cerapachys_MG03	0
Cerapachys_MG14	0
Cerapachys_MG39	0
Cerapachys_MG42	0
Cerapachys_MG43	0
Cerapachys_nkomoensis	0
Cerapachys_paradoxus	0
Cerapachys_PG01	0
Cerapachys_P_MG09	0
Cerapachys_sauteri	0
Cerapachys_splendens	0
Cerapachys_suscitatus	0
Cerapachys_sylvicola	0
Cerapachys_TH01	0
Cerapachys_TH02	0
Cerapachys_TH03	0
Cerapachys_typhlus	0
Chalybion_californicum	0
Cheliomyrmex_morosus_cf	0
Chronoxenus_wroughtonii_javanus	0
Chyphotes_sp	0
Colobostruma_unicorna	0
Crematogaster_acuta	0
Crematogaster_emeryana	0
Crematogaster_kelleri	0
Crematogaster_modiglianii	0
Crematogaster_navajoa	0
Crematogaster_sordidula	0
Cryptomyrmex_boltoni	0
Cryptopone_sauteri	0
Cyatta_abscondita_GenBank	0
Cylindromyrmex_meinerti	0
Cylindromyrmex_striatus	0
Cyphoidris_exalta	0
Cyphomyrmex_cornutus	0
Cyphomyrmex_longiscapus_cf	0
Cyphomyrmex_sp	0
Dacatria_templaris	0
Dacetinops_ignotus_cf	0
Daceton_armigerum	0
Dasymutilla_aureola	0
Diacamma_rugosum	0
Diacamma_sp	0
Diacamma_sp_Indo1	0
Diaphoromyrma_sofiae	0
Dicroaspis_KM01	0
Dilobocondyla_borneensis_cf	0
Dilobocondyla_sp	0
Dinoponera_australis	0
