Moreau et al name,subfamily,tribe,genus,Notes
Papyrius nitidus, Dolichoderinae, Leptomyrmecini,Papyrius ,
Paraponera clavata,Paraponerinae,,Paraponera,
Pheidole rhea, Myrmicinae, Attini,Pheidole,
Pheidologeton sp.,Myrmicinae,Crematogastrini,Pheidologeton,
Philanthus sp.,wasp,,,
Philidris cordatus, Dolichoderinae, Leptomyrmecini,Philidris,
Plagiolepis sp.,Formicinae,Plagiolepidini,Plagiolepis,
Platythyrea punctata,Ponerinae,Platythyreini,Platythyrea,
Podomyrma sp.,Myrmicinae,Crematogastrini,Podomyrma,
Pogonomyrmex maricopa,Myrmicinae,Pogonomyrmecini,Pogonomyrmex,
Polyergus briviceps,Formicinae,Formicini,Polyergus,
Polyrhachis vindex,Formicinae,Camponotini,Polyrhachis,
Prenolepis imparis,Formicinae,Lasiini,Prenolepis,
Prionopelta sp.2,Amblyoponinae,,Prionopelta,
Pristomyrmex sp.,Myrmicinae,Crematogastrini,Pristomyrmex,
Proatta butteli,Myrmicinae,Crematogastrini,Proatta,
Probolomyrmex sp.,Proceratiinae,Probolomyrmecini,Probolomyrmex,
Proceratium sp.1,Proceratiinae,Proceratiini,Proceratium ,
Procryptocerus batesi,Myrmicinae,Attini,Procryptocerus,
Proformica nasuta,Formicinae,Formicini,Proformica,
Prolasius sp.,Formicinae,Melophorini,Prolasius,
Protanilla sp.,Leptanillinae,Anomalomyrmini,Protanilla ,
Pseudolasius typhlops,Formicinae,Lasiini,Pseudolasius,
Pseudomyrmex apache,Pseudomyrmecinae,,Pseudomyrmex,
Pyramica pulchella,Myrmicinae,Attini,Pyramica,
Rhopalomastix janeti,Myrmicinae,Crematogastrini,Rhopalomastix,
Rhytidoponera metallica,Ectatomminae,Ectatommini,Rhytidoponera,
Sericomyrmex sp.,Myrmicinae,Attini,Sericomyrmex,
Solenopsis invicta,Myrmicinae,Solenopsidini,Solenopsis,
Sphinctomyrmex sp.,Dorylinae,,Sphinctomyrmex,
Stenamma snellingi,Myrmicinae,Stenammini,Stenamma,
Stigmacros sp.,Formicinae,Melophorini,Stigmacros,
Strumigenys sp.,Myrmicinae,Attini,Strumigenys,
Tapinoma opacum,Dolichoderinae,Tapinomini,,
Taturidris tatusia,Agroecomyrmecinae,,Taturidris,
Technomyrmex albipes,Dolichoderinae,Tapinomini,Technomyrmex,
Temnothorax tricarinatus,Myrmicinae,Crematogastrini,Temnothorax,
Terataner sp.,Myrmicinae,Crematogastrini,Terataner,
Tetramorium hispidum,Myrmicinae,Crematogastrini,Tetramorium,
Tetraponera sp.,Pseudomyrmecinae,,Tetraponera,
Trachymyrmex jamaicensis,Myrmicinae,Attini,Trachymyrmex,
Tranopelta subterranea,Myrmicinae,Attini,Tranopelta,
Typhlomyrmex rogenhoferi,Ectatomminae,Typhlomyrmecini,Typhlomyrmex,
Vespula sp.,wasp,,,
Vollenhovia sp,Myrmicinae,Crematogastrini,Vollenhovia,
Wasmannia sp.,Myrmicinae,Attini,Wasmannia,
Xenomyrmex floridanus,Myrmicinae,Crematogastrini,Xenomyrmex,
Yunodorylus sexspinus,Dorylinae,,Yunodorylus,
