Moreau_et_al_name,subfamily,tribe,genus,Notes
Onychomyrmex_hedleyi,Amblyoponinae,,Onychomyrmex,
Opisthopsis_sp.,Formicinae,Camponotini,Opisthopsis,
Oxyopomyrmex_insularis,Myrmicinae,Stenammini,Oxyopomyrme,
Pachycondyla_stigma,Ponerinae,Ponerini,Pachycondyla,Morph
Papyrius_nitidus,Dolichoderinae,Leptomyrmecini,Papyrius,
Paraponera_clavata,Paraponerinae,,Paraponera,Morph
Pheidole_rhea,Myrmicinae,Attini,Pheidole,
Pheidologeton_sp.,Myrmicinae,Crematogastrini,Pheidologeton,
Philanthus_sp.,wasp,,,
Philidris_cordatus,Dolichoderinae,Leptomyrmecini,Philidris,
Plagiolepis_sp.,Formicinae,Plagiolepidini,Plagiolepis,
Platythyrea_punctata,Ponerinae,Platythyreini,Platythyrea,Morph
Podomyrma_sp.,Myrmicinae,Crematogastrini,Podomyrma,
Pogonomyrmex_maricopa,Myrmicinae,Pogonomyrmecini,Pogonomyrmex,
Polyergus_briviceps,Formicinae,Formicini,Polyergus,
Polyrhachis_vindex,Formicinae,Camponotini,Polyrhachis,
Prenolepis_imparis,Formicinae,Lasiini,Prenolepis,
Prionopelta_sp.2,Amblyoponinae,,Prionopelta,
Pristomyrmex_sp.,Myrmicinae,Crematogastrini,Pristomyrmex,
Proatta_butteli,Myrmicinae,Crematogastrini,Proatta,
Probolomyrmex_sp.,Proceratiinae,Probolomyrmecini,Probolomyrmex,
Proceratium_sp.1,Proceratiinae,Proceratiini,Proceratium,
Procryptocerus_batesi,Myrmicinae,Attini,Procryptocerus,
Proformica_nasuta,Formicinae,Formicini,Proformica,
Prolasius_sp.,Formicinae,Melophorini,Prolasius,
Protanilla_sp.,Leptanillinae,Anomalomyrmini,Protanilla,
Pseudolasius_typhlops,Formicinae,Lasiini,Pseudolasius,
Pseudomyrmex_apache,Pseudomyrmecinae,,Pseudomyrmex,
Pyramica_pulchella,Myrmicinae,Attini,Pyramica,
Rhopalomastix_janeti,Myrmicinae,Crematogastrini,Rhopalomastix,
Rhytidoponera_metallica,Ectatomminae,Ectatommini,Rhytidoponera,
Sericomyrmex_sp.,Myrmicinae,Attini,Sericomyrmex,
Solenopsis_invicta,Myrmicinae,Solenopsidini,Solenopsis,
Sphinctomyrmex_sp.,Dorylinae,,Sphinctomyrmex,
Stenamma_snellingi,Myrmicinae,Stenammini,Stenamma,
Stigmacros_sp.,Formicinae,Melophorini,Stigmacros,
Strumigenys_sp.,Myrmicinae,Attini,Strumigenys,
Tapinoma_opacum,Dolichoderinae,Tapinomini,,
Taturidris_tatusia,Agroecomyrmecinae,,Taturidris,
Technomyrmex_albipes,Dolichoderinae,Tapinomini,Technomyrmex,Morph
Temnothorax_tricarinatus,Myrmicinae,Crematogastrini,Temnothorax,
Terataner_sp.,Myrmicinae,Crematogastrini,Terataner,
Tetramorium_hispidum,Myrmicinae,Crematogastrini,Tetramorium,
Tetraponera_sp.,Pseudomyrmecinae,,Tetraponera,
Trachymyrmex_jamaicensis,Myrmicinae,Attini,Trachymyrmex,
Tranopelta_subterranea,Myrmicinae,Attini,Tranopelta,
Typhlomyrmex_rogenhoferi,Ectatomminae,Typhlomyrmecini,Typhlomyrmex,Morph
Vespula_sp.,wasp,,,
Vollenhovia_sp,Myrmicinae,Crematogastrini,Vollenhovia,
Wasmannia_sp.,Myrmicinae,Attini,Wasmannia,
Xenomyrmex_floridanus,Myrmicinae,Crematogastrini,Xenomyrmex,
Yunodorylus_sexspinus,Dorylinae,,Yunodorylus,
