taxon	age
Acanthoponera_minor	0.0
Amblyopone_pallipes	0.0
Aneuretus	0.0
Anomalomyrma_sp	0.0
Apomyrma_stygia	0.0
Brownimecia_clavata	93.9
Camelomecia	99.6
Cerapachys_sexspinus	0.0
Chalybion_californicum	0.0
Chyphotes_mellipes	0.0
Formica_fusca	15.97
Gerontoformica_gracilis	99.6
Gerontoformica_magnus	99.6
Gerontoformica_pilosus	99.6
Gerontoformica_spiralis	99.6
Haidomyrmex_scimitarus	99.6
Haidomyrmodes_mammuthus	105.3
Haidoterminus_cippus	83.5
Heterogyna	0.0
Hypoponera_opacior	0.0
Kyromyrma	0.0
Lasius_californicus	0.0
Leptanilla_swani	0.0
Leptanilloides_nomada	0.0
Leptogenys_diminuta	0.0
Martialis_heureka	0.0
Metapolybia_cingulata	0.0
Myanmyrma_gracilis	99.6
Myrmecia_nigriceps	0.0
Myrmica_americana	0.0
Nothomyrmecia_macrops	0.0
Opamyrma_hungvuong	0.0
Paraponera_clavata	0.0
Platythyrea_punctata	0.0
Pogonomyrmex_californicus	0.0
Proceratium_stictum	0.0
Scolia_verticalis	0.0
Sphecomyrma_freyi	93.9
Tatuidris_tatusia	0.0
Tetraponera_punctulata	0.0
Zigrasimecia	0.0
Adetomyrma_sp.	0.0
Amblyopone_armigera	0.0
Amblyopone_australis	0.0
Amblyopone_mercovichi	0.0
Amblyopone_mystriops	0.0
Amblyopone_pluto	0.0
Amblyopone_mutica	0.0
Concoctio_concenta	0.0
Myopopone_castanea	0.0
Mystrium_voeltzkowi	0.0
Onychomyrmex_doddi	0.0
Prionopelta_aethiopica	0.0
Prionopelta_antillana	0.0
Ectatomma_tuberculatum	0.0
Gnamptogenys_annulata	0.0
Gnamptogenys_striatula	0.0
Gnamptogenys_bufonis	0.0
Gnamptogenys_minuta	0.0
Rhytidoponera_confusa	0.0
Typhlomyrmex_pusillus	0.0
Typhlomyrmex_rogenhoferi	0.0
Heteroponera_brouni	0.0
Heteroponera_relicta	0.0
Platythyrea_turneri	0.0
Anochetus_emarginatus	0.0
Odontomachus_bauri	0.0
Asphinctopone_silvestrii	0.0
Belonopelta_deletrix	0.0
Centromyrmex_brachycola	0.0
Cryptopone_gilva	0.0
Diacamma_ceylonense	0.0
